CustomerID,min_recency,max_recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore,Segmented
12432,42.0,172.0,4,4359.320000000001,2,2,1,221,Potential Big Spender
12433,0.0,373.0,7,13375.870000000003,1,1,1,111,Best Customer
12434,84.0,260.0,2,792.9399999999998,3,3,2,332,Need More Treatment
12435,79.0,267.0,2,7829.889999999999,3,3,1,331,Need More Treatment
12436,99.0,99.0,1,429.01000000000005,3,4,3,343,Need More Treatment
12437,1.0,331.0,18,4392.659999999999,1,1,1,111,Best Customer
12438,14.0,140.0,2,2466.85,1,3,1,131,Potential Big Spender
12441,366.0,366.0,1,155.55,4,4,4,444,Lost Cheap Customer
12442,3.0,3.0,1,144.06,1,4,4,144,Need More Treatment
12444,21.0,171.0,5,4085.4599999999996,2,2,1,221,Potential Big Spender
12445,22.0,22.0,1,77.4,2,4,4,244,Need More Treatment
12446,57.0,57.0,1,1002.3099999999998,3,4,2,342,Need More Treatment
12447,243.0,243.0,1,431.49,4,4,3,443,Need More Treatment
12448,44.0,44.0,1,365.4500000000001,2,4,3,243,Need More Treatment
12449,22.0,187.0,4,3596.29,2,2,1,221,Potential Big Spender
12450,156.0,173.0,2,197.88,4,3,4,434,Need More Treatment
12451,10.0,324.0,5,8893.519999999999,1,2,1,121,Potential Big Spender
12452,16.0,16.0,1,348.57000000000005,1,4,3,143,Need More Treatment
12453,134.0,134.0,1,707.0899999999999,3,4,2,342,Need More Treatment
12454,56.0,56.0,1,0.0,3,4,4,344,Need More Treatment
12455,73.0,296.0,5,2339.8599999999997,3,2,1,321,Potential Big Spender
12456,44.0,254.0,3,2555.54,2,2,1,221,Potential Big Spender
12457,66.0,239.0,6,1840.0299999999997,3,1,1,311,Almost Lost Customer
12458,71.0,284.0,2,787.4000000000001,3,3,2,332,Need More Treatment
12461,154.0,154.0,1,626.8800000000001,4,4,3,443,Need More Treatment
12462,18.0,303.0,2,893.8499999999999,2,3,2,232,Need More Treatment
12463,53.0,241.0,4,1178.0800000000002,3,2,2,322,Potential Customer
12464,10.0,309.0,8,957.0500000000001,1,1,2,112,Need More Treatment
12465,17.0,169.0,2,673.89,1,3,2,132,Need More Treatment
12468,187.0,316.0,2,652.04,4,3,3,433,Need More Treatment
12471,2.0,364.0,27,17314.17,1,1,1,111,Best Customer
12472,32.0,369.0,7,6016.59,2,1,1,211,Potential Big Spender
12473,53.0,191.0,3,2545.27,3,2,1,321,Potential Big Spender
12474,17.0,329.0,18,6588.479999999999,1,1,1,111,Best Customer
12475,53.0,53.0,1,669.38,3,4,2,342,Need More Treatment
12476,15.0,361.0,11,5774.6,1,1,1,111,Best Customer
12477,22.0,301.0,6,13144.71,2,1,1,211,Potential Big Spender
12478,3.0,3.0,1,545.99,1,4,3,143,Need More Treatment
12479,11.0,11.0,1,428.29999999999995,1,4,3,143,Need More Treatment
12480,28.0,336.0,4,2885.6300000000006,2,2,1,221,Potential Big Spender
12481,22.0,365.0,10,4998.36,2,1,1,211,Potential Big Spender
12483,17.0,339.0,8,1881.6299999999999,1,1,1,111,Best Customer
12484,35.0,336.0,4,3892.8699999999994,2,2,1,221,Potential Big Spender
12488,9.0,75.0,3,1244.6599999999999,1,2,2,122,Potential Customer
12489,336.0,336.0,1,298.93,4,4,3,443,Need More Treatment
12490,5.0,329.0,10,4859.93,1,1,1,111,Best Customer
12491,38.0,38.0,1,424.4000000000001,2,4,3,243,Need More Treatment
12492,63.0,105.0,2,227.21,3,3,4,334,Need More Treatment
12493,165.0,197.0,2,362.79,4,3,3,433,Need More Treatment
12494,15.0,365.0,7,1040.1,1,1,2,112,Need More Treatment
12497,81.0,81.0,1,953.1,3,4,2,342,Need More Treatment
12498,21.0,57.0,3,349.7,2,2,3,223,Potential Customer
12500,23.0,333.0,11,4047.92,2,1,1,211,Potential Big Spender
12501,336.0,336.0,1,1945.6799999999994,4,4,1,441,Need More Treatment
12502,95.0,309.0,5,2995.8700000000003,3,2,1,321,Potential Big Spender
12504,18.0,30.0,2,92.65,2,3,4,234,Need More Treatment
12506,232.0,232.0,1,73.50000000000003,4,4,4,444,Lost Cheap Customer
12507,134.0,298.0,3,1011.56,3,2,2,322,Potential Customer
12508,26.0,29.0,2,397.88,2,3,3,233,Need More Treatment
12509,284.0,284.0,1,158.5,4,4,4,444,Lost Cheap Customer
12510,142.0,325.0,2,814.57,3,3,2,332,Need More Treatment
12512,66.0,66.0,2,132.18000000000004,3,3,4,334,Need More Treatment
12513,112.0,112.0,1,532.7900000000001,3,4,3,343,Need More Treatment
12514,267.0,267.0,1,1017.6800000000002,4,4,2,442,Need More Treatment
12515,353.0,353.0,1,278.7,4,4,4,444,Lost Cheap Customer
12516,77.0,180.0,2,1186.06,3,3,2,332,Need More Treatment
12517,28.0,190.0,4,2301.6000000000004,2,2,1,221,Potential Big Spender
12518,0.0,110.0,5,1840.89,1,2,1,121,Potential Big Spender
12519,63.0,63.0,1,276.84,3,4,4,344,Need More Treatment
12520,79.0,273.0,5,2294.51,3,2,1,321,Potential Big Spender
12521,142.0,142.0,1,545.6800000000001,3,4,3,343,Need More Treatment
12522,39.0,51.0,2,156.72,2,3,4,234,Need More Treatment
12523,19.0,331.0,11,1658.1200000000001,2,1,1,211,Potential Big Spender
12524,9.0,333.0,8,3945.7200000000003,1,1,1,111,Best Customer
12526,0.0,94.0,3,1172.6599999999999,1,2,2,122,Potential Customer
12527,81.0,325.0,3,330.71000000000004,3,2,3,323,Potential Customer
12528,9.0,312.0,6,1640.53,1,1,1,111,Best Customer
12530,59.0,336.0,4,1482.4300000000003,3,2,2,322,Potential Customer
12531,14.0,14.0,1,125.22,1,4,4,144,Need More Treatment
12532,30.0,30.0,1,313.83,2,4,3,243,Need More Treatment
12534,130.0,130.0,1,981.1800000000001,3,4,2,342,Need More Treatment
12535,91.0,186.0,2,716.3500000000001,3,3,2,332,Need More Treatment
12536,59.0,59.0,1,4151.260000000002,3,4,1,341,Need More Treatment
12538,29.0,29.0,1,363.95,2,4,3,243,Need More Treatment
12539,22.0,333.0,4,5568.349999999999,2,2,1,221,Potential Big Spender
12540,19.0,361.0,17,11514.539999999997,2,1,1,211,Potential Big Spender
12541,29.0,280.0,3,841.1799999999998,2,2,2,222,Normal Customer
12544,36.0,36.0,1,299.7,2,4,3,243,Need More Treatment
12545,75.0,259.0,2,832.39,3,3,2,332,Need More Treatment
12546,46.0,77.0,2,1001.5,2,3,2,232,Need More Treatment
12547,197.0,280.0,2,151.8,4,3,4,434,Need More Treatment
12548,166.0,166.0,1,67.19999999999999,4,4,4,444,Lost Cheap Customer
12550,79.0,79.0,1,824.8299999999994,3,4,2,342,Need More Treatment
12551,357.0,357.0,1,168.0,4,4,4,444,Lost Cheap Customer
12552,39.0,39.0,1,317.81999999999994,2,4,3,243,Need More Treatment
12553,8.0,329.0,10,3239.9000000000005,1,1,1,111,Best Customer
12556,50.0,151.0,2,599.5599999999997,2,3,3,233,Need More Treatment
12557,16.0,371.0,5,11990.96,1,2,1,121,Potential Big Spender
12558,7.0,7.0,1,0.0,1,4,4,144,Need More Treatment
12559,310.0,319.0,2,500.21,4,3,3,433,Need More Treatment
12560,5.0,143.0,2,1894.31,1,3,1,131,Potential Big Spender
12561,302.0,302.0,1,238.85,4,4,4,444,Lost Cheap Customer
12562,8.0,198.0,7,3385.74,1,1,1,111,Best Customer
12564,261.0,261.0,1,402.9000000000001,4,4,3,443,Need More Treatment
12565,288.0,288.0,1,131.17000000000002,4,4,4,444,Lost Cheap Customer
12566,86.0,86.0,1,292.70000000000005,3,4,4,344,Need More Treatment
12567,22.0,369.0,10,8412.339999999998,2,1,1,211,Potential Big Spender
12569,2.0,252.0,32,3128.99,1,1,1,111,Best Customer
12571,39.0,121.0,2,519.61,2,3,3,233,Need More Treatment
12572,8.0,51.0,2,896.7200000000003,1,3,2,132,Need More Treatment
12573,227.0,227.0,1,160.54,4,4,4,444,Lost Cheap Customer
12574,315.0,315.0,1,182.45000000000002,4,4,4,444,Lost Cheap Customer
12576,35.0,304.0,5,1306.98,2,2,2,222,Normal Customer
12577,35.0,359.0,3,560.25,2,2,3,223,Potential Customer
12578,21.0,330.0,2,2380.26,2,3,1,231,Potential Big Spender
12579,78.0,78.0,1,374.71999999999997,3,4,3,343,Need More Treatment
12580,246.0,246.0,1,379.7,4,4,3,443,Need More Treatment
12581,39.0,39.0,1,179.70999999999998,2,4,4,244,Need More Treatment
12582,238.0,288.0,2,351.36,4,3,3,433,Need More Treatment
12583,2.0,373.0,15,6640.39,1,1,1,111,Best Customer
12584,3.0,280.0,9,2093.55,1,1,1,111,Best Customer
12585,234.0,351.0,2,1768.51,4,3,1,431,Potential Big Spender
12586,17.0,17.0,1,196.94,1,4,4,144,Need More Treatment
12587,7.0,7.0,1,104.0,1,4,4,144,Need More Treatment
12588,39.0,39.0,1,174.9,2,4,4,244,Need More Treatment
12589,28.0,144.0,2,574.68,2,3,3,233,Need More Treatment
12590,211.0,211.0,1,9338.380000000003,4,4,1,441,Need More Treatment
12591,317.0,317.0,1,368.84999999999985,4,4,3,443,Need More Treatment
12592,92.0,213.0,2,401.6,3,3,3,333,Need More Treatment
12593,108.0,218.0,3,382.1,3,2,3,323,Potential Customer
12594,37.0,322.0,9,3208.2200000000003,2,1,1,211,Potential Big Spender
12596,51.0,242.0,2,450.27,3,3,3,333,Need More Treatment
12597,19.0,268.0,4,3104.6300000000015,2,2,1,221,Potential Big Spender
12598,9.0,284.0,7,2786.68,1,1,1,111,Best Customer
12599,29.0,304.0,7,888.5799999999999,2,1,2,212,Potential Customer
12600,28.0,371.0,10,2311.04,2,1,1,211,Potential Big Spender
12601,189.0,332.0,5,479.56000000000006,4,2,3,423,Potential Customer
12602,58.0,58.0,1,153.12000000000003,3,4,4,344,Need More Treatment
12603,21.0,21.0,1,613.1999999999999,2,4,3,243,Need More Treatment
12604,79.0,261.0,2,236.18,3,3,4,334,Need More Treatment
12607,60.0,60.0,1,0.0,3,4,4,344,Need More Treatment
12609,78.0,318.0,3,964.85,3,2,2,322,Potential Customer
12610,22.0,126.0,4,1708.54,2,2,1,221,Potential Big Spender
12611,52.0,52.0,1,1193.32,3,4,2,342,Need More Treatment
12612,74.0,74.0,1,607.5900000000001,3,4,3,343,Need More Treatment
12613,57.0,262.0,4,2983.3300000000004,3,2,1,321,Potential Big Spender
12614,277.0,277.0,1,315.59999999999997,4,4,3,443,Need More Treatment
12615,2.0,168.0,4,2093.19,1,2,1,121,Potential Big Spender
12616,95.0,297.0,2,585.25,3,3,3,333,Need More Treatment
12617,29.0,29.0,1,352.9800000000002,2,4,3,243,Need More Treatment
12618,21.0,21.0,1,137.31,2,4,4,244,Need More Treatment
12619,16.0,253.0,8,2908.8099999999995,1,1,1,111,Best Customer
12620,14.0,204.0,3,1303.4099999999999,1,2,2,122,Potential Customer
12621,1.0,365.0,20,12344.27,1,1,1,111,Best Customer
12622,232.0,232.0,1,162.09999999999997,4,4,4,444,Lost Cheap Customer
12623,276.0,276.0,1,269.1,4,4,4,444,Lost Cheap Customer
12624,106.0,177.0,2,569.13,3,3,3,333,Need More Treatment
12625,211.0,319.0,2,2367.42,4,3,1,431,Potential Big Spender
12626,23.0,326.0,9,5792.449999999999,2,1,1,211,Potential Big Spender
12627,10.0,140.0,6,4082.5299999999997,1,1,1,111,Best Customer
12628,4.0,64.0,3,715.61,1,2,2,122,Potential Customer
12630,9.0,43.0,2,1030.88,1,3,2,132,Need More Treatment
12631,57.0,57.0,1,480.50000000000017,3,4,3,343,Need More Treatment
12633,58.0,287.0,4,1906.6300000000003,3,2,1,321,Potential Big Spender
12635,89.0,154.0,2,1509.1799999999994,3,3,2,332,Need More Treatment
12637,67.0,323.0,8,5790.249999999998,3,1,1,311,Almost Lost Customer
12638,33.0,33.0,1,511.69,2,4,3,243,Need More Treatment
12639,238.0,238.0,1,366.1,4,4,3,443,Need More Treatment
12640,23.0,81.0,3,994.5799999999999,2,2,2,222,Normal Customer
12641,115.0,115.0,1,145.9,3,4,4,344,Need More Treatment
12642,25.0,107.0,3,905.26,2,2,2,222,Normal Customer
12643,128.0,332.0,6,3041.6400000000003,3,1,1,311,Almost Lost Customer
12644,129.0,129.0,1,477.9100000000001,3,4,3,343,Need More Treatment
12645,33.0,316.0,4,1611.3799999999999,2,2,2,222,Normal Customer
12646,4.0,49.0,2,1346.9699999999998,1,3,2,132,Need More Treatment
12647,22.0,369.0,12,3125.8700000000003,2,1,1,211,Potential Big Spender
12648,154.0,154.0,1,300.05,4,4,3,443,Need More Treatment
12649,107.0,212.0,3,569.51,3,2,3,323,Potential Customer
12650,3.0,3.0,1,242.44,1,4,4,144,Need More Treatment
12651,334.0,334.0,1,114.00000000000003,4,4,4,444,Lost Cheap Customer
12652,331.0,331.0,1,788.5299999999997,4,4,2,442,Need More Treatment
12653,148.0,296.0,2,2209.85,4,3,1,431,Potential Big Spender
12654,10.0,295.0,5,529.98,1,2,3,123,Potential Customer
12656,17.0,233.0,5,3610.67,1,2,1,121,Potential Big Spender
12657,11.0,78.0,4,1155.06,1,2,2,122,Potential Customer
12658,18.0,18.0,1,632.0500000000001,2,4,3,243,Need More Treatment
12659,29.0,29.0,1,73.68,2,4,4,244,Need More Treatment
12660,11.0,11.0,1,227.10000000000002,1,4,4,144,Need More Treatment
12662,0.0,373.0,11,3511.0800000000004,1,1,1,111,Best Customer
12664,8.0,322.0,9,4391.88,1,1,1,111,Best Customer
12665,324.0,324.0,1,45.0,4,4,4,444,Lost Cheap Customer
12667,58.0,58.0,1,460.12999999999994,3,4,3,343,Need More Treatment
12668,11.0,355.0,4,3142.3500000000004,1,2,1,121,Potential Big Spender
12669,150.0,256.0,2,1427.7300000000002,4,3,2,432,Need More Treatment
12670,10.0,232.0,5,2744.0499999999997,1,2,1,121,Potential Big Spender
12672,329.0,329.0,1,225.9,4,4,4,444,Lost Cheap Customer
12673,5.0,326.0,2,574.52,1,3,3,133,Need More Treatment
12674,38.0,207.0,4,1840.1599999999999,2,2,1,221,Potential Big Spender
12676,24.0,311.0,6,1091.39,2,1,2,212,Potential Customer
12678,42.0,353.0,9,16291.260000000004,2,1,1,211,Potential Big Spender
12679,58.0,283.0,4,913.7700000000002,3,2,2,322,Potential Customer
12680,0.0,113.0,4,790.8099999999998,1,2,2,122,Potential Customer
12681,14.0,367.0,22,12353.64,1,1,1,111,Best Customer
12682,3.0,371.0,31,11019.82,1,1,1,111,Best Customer
12683,4.0,365.0,14,7445.599999999999,1,1,1,111,Best Customer
12684,7.0,213.0,6,2073.63,1,1,1,111,Best Customer
12685,28.0,93.0,6,2575.08,2,1,1,211,Potential Big Spender
12686,371.0,371.0,1,71.14,4,4,4,444,Lost Cheap Customer
12688,113.0,113.0,1,4873.810000000005,3,4,1,341,Need More Treatment
12689,25.0,127.0,2,1139.6100000000004,2,3,2,232,Need More Treatment
12690,205.0,205.0,1,335.00999999999993,4,4,3,443,Need More Treatment
12691,28.0,357.0,5,927.8,2,2,2,222,Normal Customer
12693,127.0,319.0,4,686.96,3,2,2,322,Potential Customer
12694,70.0,183.0,2,761.6699999999998,3,3,2,332,Need More Treatment
12695,7.0,210.0,4,582.1,1,2,3,123,Potential Customer
12697,28.0,169.0,3,739.02,2,2,2,222,Normal Customer
12700,7.0,215.0,4,4525.99,1,2,1,121,Potential Big Spender
12701,79.0,242.0,2,725.71,3,3,2,332,Need More Treatment
12702,19.0,19.0,1,201.0,2,4,4,244,Need More Treatment
12703,71.0,71.0,1,256.7,3,4,4,344,Need More Treatment
12704,7.0,169.0,8,1740.84,1,1,1,111,Best Customer
12705,15.0,357.0,8,6348.13,1,1,1,111,Best Customer
12707,291.0,291.0,1,603.42,4,4,3,443,Need More Treatment
12708,29.0,368.0,10,2386.47,2,1,1,211,Potential Big Spender
12709,15.0,366.0,15,9257.09,1,1,1,111,Best Customer
12710,96.0,201.0,3,1004.5700000000003,3,2,2,322,Potential Customer
12712,28.0,371.0,13,3866.230000000001,2,1,1,211,Potential Big Spender
12713,0.0,0.0,1,794.5499999999998,1,4,2,142,Need More Treatment
12714,9.0,294.0,5,4294.860000000001,1,2,1,121,Potential Big Spender
12715,106.0,106.0,1,263.36,3,4,4,344,Need More Treatment
12716,3.0,133.0,2,963.4899999999996,1,3,2,132,Need More Treatment
12717,151.0,245.0,2,830.98,4,3,2,432,Need More Treatment
12718,71.0,71.0,1,202.25000000000003,3,4,4,344,Need More Treatment
12719,5.0,65.0,2,536.1,1,3,3,133,Need More Treatment
12720,2.0,369.0,25,5115.7300000000005,1,1,1,111,Best Customer
12721,31.0,354.0,6,2386.13,2,1,1,211,Potential Big Spender
12722,85.0,150.0,4,932.9799999999999,3,2,2,322,Potential Customer
12723,3.0,65.0,5,707.0699999999999,1,2,2,122,Potential Customer
12724,5.0,332.0,4,923.4100000000002,1,2,2,122,Potential Customer
12725,371.0,371.0,1,371.79999999999995,4,4,3,443,Need More Treatment
12726,28.0,357.0,7,2411.1000000000004,2,1,1,211,Potential Big Spender
12727,10.0,320.0,7,3425.7000000000007,1,1,1,111,Best Customer
12728,71.0,332.0,4,728.3299999999999,3,2,2,322,Potential Customer
12729,113.0,113.0,1,417.0100000000001,3,4,3,343,Need More Treatment
12731,23.0,364.0,12,18751.91,2,1,1,211,Potential Big Spender
12732,179.0,179.0,1,218.2600000000001,4,4,4,444,Lost Cheap Customer
12733,234.0,234.0,1,383.95,4,4,3,443,Need More Treatment
12734,352.0,352.0,1,110.39999999999999,4,4,4,444,Lost Cheap Customer
12735,315.0,337.0,2,689.5699999999998,4,3,2,432,Need More Treatment
12736,332.0,332.0,1,144.0,4,4,4,444,Lost Cheap Customer
12738,372.0,372.0,1,137.35,4,4,4,444,Lost Cheap Customer
12739,99.0,99.0,1,975.5400000000001,3,4,2,342,Need More Treatment
12740,63.0,63.0,1,427.5999999999999,3,4,3,343,Need More Treatment
12743,134.0,134.0,2,540.1299999999999,3,3,3,333,Need More Treatment
12744,56.0,318.0,4,9120.39,3,2,1,321,Potential Big Spender
12747,2.0,369.0,11,4196.01,1,1,1,111,Best Customer
12748,0.0,373.0,206,30926.14,1,1,1,111,Best Customer
12749,3.0,213.0,5,3828.100000000001,1,2,1,121,Potential Big Spender
12750,128.0,128.0,1,275.88,3,4,4,344,Need More Treatment
12752,81.0,81.0,1,4366.779999999999,3,4,1,341,Need More Treatment
12753,22.0,362.0,6,21100.469999999998,2,1,1,211,Potential Big Spender
12754,235.0,308.0,3,3010.74,4,2,1,421,Potential Big Spender
12755,280.0,365.0,2,2220.75,4,3,1,431,Potential Big Spender
12756,86.0,86.0,1,112.08000000000001,3,4,4,344,Need More Treatment
12757,15.0,211.0,9,4161.75,1,1,1,111,Best Customer
12758,116.0,276.0,2,2791.59,3,3,1,331,Need More Treatment
12759,52.0,275.0,3,1411.44,3,2,2,322,Potential Customer
12762,7.0,25.0,2,1702.5200000000007,1,3,1,131,Potential Big Spender
12763,138.0,369.0,2,494.08,3,3,3,333,Need More Treatment
12764,316.0,316.0,1,1693.8800000000003,4,4,1,441,Need More Treatment
12766,3.0,366.0,7,6457.629999999999,1,1,1,111,Best Customer
12769,238.0,238.0,1,1143.6000000000001,4,4,2,442,Need More Treatment
12770,210.0,210.0,1,1351.4499999999998,4,4,2,442,Need More Treatment
12772,59.0,59.0,1,752.4700000000004,3,4,2,342,Need More Treatment
12775,17.0,311.0,5,1246.2400000000002,1,2,2,122,Potential Customer
12778,19.0,312.0,6,693.23,2,1,2,212,Potential Customer
12779,37.0,371.0,8,3902.3999999999996,2,1,1,211,Potential Big Spender
12781,63.0,284.0,2,729.23,3,3,2,332,Need More Treatment
12782,4.0,357.0,5,1881.32,1,2,1,121,Potential Big Spender
12783,2.0,75.0,4,1295.87,1,2,2,122,Potential Customer
12784,15.0,15.0,1,476.81999999999994,1,4,3,143,Need More Treatment
12785,364.0,364.0,1,250.10000000000002,4,4,4,444,Lost Cheap Customer
12787,9.0,192.0,3,418.65999999999997,1,2,3,123,Potential Customer
12789,65.0,65.0,1,76.85000000000001,3,4,4,344,Need More Treatment
12790,192.0,192.0,1,294.9200000000001,4,4,4,444,Lost Cheap Customer
12791,373.0,373.0,1,177.60000000000002,4,4,4,444,Lost Cheap Customer
12792,256.0,256.0,1,344.54,4,4,3,443,Need More Treatment
12793,334.0,371.0,2,461.48,4,3,3,433,Need More Treatment
12794,53.0,98.0,2,860.4100000000001,3,3,2,332,Need More Treatment
12795,18.0,18.0,1,318.4800000000001,2,4,3,243,Need More Treatment
12797,365.0,365.0,1,166.18000000000004,4,4,4,444,Lost Cheap Customer
12798,10.0,170.0,3,6977.039999999999,1,2,1,121,Potential Big Spender
12802,186.0,186.0,1,382.58,4,4,3,443,Need More Treatment
12808,36.0,368.0,3,455.65,2,2,3,223,Potential Customer
12809,177.0,177.0,1,400.36,4,4,3,443,Need More Treatment
12811,261.0,284.0,2,458.85,4,3,3,433,Need More Treatment
12812,44.0,44.0,1,229.63999999999993,2,4,4,244,Need More Treatment
12814,101.0,101.0,1,85.92,3,4,4,344,Need More Treatment
12815,147.0,198.0,2,863.4599999999998,4,3,2,432,Need More Treatment
12816,95.0,176.0,2,452.20000000000005,3,3,3,333,Need More Treatment
12817,281.0,281.0,1,126.03999999999999,4,4,4,444,Lost Cheap Customer
12818,261.0,261.0,1,1160.38,4,4,2,442,Need More Treatment
12820,3.0,326.0,4,942.34,1,2,2,122,Potential Customer
12821,214.0,214.0,1,92.72,4,4,4,444,Lost Cheap Customer
12822,70.0,87.0,2,918.9799999999998,3,3,2,332,Need More Treatment
12823,74.0,296.0,5,1759.5,3,2,1,321,Potential Big Spender
12824,59.0,59.0,1,397.11999999999995,3,4,3,343,Need More Treatment
12826,2.0,365.0,7,1469.7699999999998,1,1,2,112,Need More Treatment
12827,5.0,44.0,3,430.15,1,2,3,123,Potential Customer
12828,2.0,130.0,6,1018.7099999999999,1,1,2,112,Need More Treatment
12829,336.0,360.0,2,253.05,4,3,4,434,Need More Treatment
12830,37.0,171.0,6,6814.639999999999,2,1,1,211,Potential Big Spender
12831,262.0,262.0,1,215.05,4,4,4,444,Lost Cheap Customer
12832,32.0,98.0,2,383.03,2,3,3,233,Need More Treatment
12833,145.0,145.0,1,417.37999999999994,4,4,3,443,Need More Treatment
12834,282.0,282.0,1,312.38,4,4,3,443,Need More Treatment
12836,59.0,311.0,4,2610.36,3,2,1,321,Potential Big Spender
12837,173.0,173.0,1,134.1,4,4,4,444,Lost Cheap Customer
12838,33.0,373.0,2,671.9499999999998,2,3,2,232,Need More Treatment
12839,2.0,367.0,14,5591.420000000001,1,1,1,111,Best Customer
12840,143.0,226.0,4,2715.92,4,2,1,421,Potential Big Spender
